,casual_riders_count,member_riders_count,casual_rider_duration,member_rider_duration,count,travel_time,day_of_week,IsWeekend,IsHoliday,Temp(c),rel_humidity,wspd,pres,weather_condition
2022-01-01 00:00:00,28.0,97.0,554672.0,96509.0,125.0,651181.0,SATURDAY,1,1,6.7,89.0,7.6,1014.9,Cloudy
2022-01-01 01:00:00,31.0,61.0,46276.0,58472.0,92.0,104748.0,SATURDAY,1,1,6.7,89.0,7.6,1014.7,Cloudy
2022-01-01 02:00:00,32.0,41.0,377839.0,45191.0,73.0,423030.0,SATURDAY,1,1,6.7,89.0,7.6,1014.7,Cloudy
2022-01-01 03:00:00,54.0,41.0,2537734.0,37167.0,95.0,2574901.0,SATURDAY,1,1,6.7,96.0,5.4,1014.2,Cloudy
2022-01-01 04:00:00,49.0,42.0,911448.0,43178.0,91.0,954626.0,SATURDAY,1,1,7.2,93.0,5.4,1014.4,Cloudy
2022-01-01 05:00:00,62.0,62.0,3414185.0,56165.0,124.0,3470350.0,SATURDAY,1,1,7.8,93.0,0.0,1014.5,Cloudy
2022-01-01 06:00:00,121.0,53.0,2007480.0,56015.0,174.0,2063495.0,SATURDAY,1,1,7.2,97.0,5.4,1014.1,Cloudy
2022-01-01 07:00:00,68.0,41.0,465738.0,41134.0,109.0,506872.0,SATURDAY,1,1,7.2,97.0,7.6,1014.2,Cloudy
2022-01-01 08:00:00,29.0,14.0,497094.0,10648.0,43.0,507742.0,SATURDAY,1,1,7.2,97.0,0.0,1014.1,Cloudy
2022-01-01 09:00:00,9.0,4.0,10798.0,3163.0,13.0,13961.0,SATURDAY,1,1,6.7,100.0,7.6,1013.6,Cloudy
2022-01-01 10:00:00,9.0,7.0,54816.0,4826.0,16.0,59642.0,SATURDAY,1,1,6.7,100.0,9.4,1013.1,Cloudy
2022-01-01 11:00:00,8.0,23.0,299642.0,18872.0,31.0,318514.0,SATURDAY,1,1,7.2,100.0,9.4,1012.5,Cloudy
2022-01-01 12:00:00,6.0,26.0,17664.0,22487.0,32.0,40151.0,SATURDAY,1,1,6.7,100.0,5.4,1012.1,Cloudy
2022-01-01 13:00:00,5.0,35.0,17083.0,33407.0,40.0,50490.0,SATURDAY,1,1,7.8,100.0,7.6,1012.3,Cloudy
2022-01-01 14:00:00,12.0,39.0,26548.0,29423.0,51.0,55971.0,SATURDAY,1,1,7.8,100.0,11.2,1011.3,Cloudy
